county_name,coverage_estimate,location_count,population,>=18 Years,Non-Medical Setting,location_per_1000
Angelina,38.642857142857146,32.0,86608.0,36.7,43.5,0.36948087936449286
Anoka,44.67142857142857,274.0,363985.0,45.260000000000005,43.2,0.7527782738299655
Anson,40.4,14.0,22200.0,39.7,42.150000000000006,0.6306306306306306
Antrim,47.55714285714286,41.0,23662.0,49.36,43.05,1.7327360324571042
Apache,31.37142857142857,32.0,66054.0,32.739999999999995,27.95,0.4844521149362642
Appanoose,46.58571428571429,9.0,12279.0,45.78,48.6,0.7329587099926703
Appling,36.0,33.0,18441.0,33.88,41.3,1.7894908085244834
Appomattox,45.01428571428572,16.0,16253.0,44.46,46.4,0.9844336430197501
Aransas,41.82857142857143,36.0,24048.0,39.28,48.2,1.4970059880239521
Arapahoe,45.08571428571429,639.0,654453.0,45.980000000000004,42.85,0.9763879147929645
Archer,43.44285714285714,61.0,8649.0,39.92,52.25,7.052838478436813
